Калькулятор;URL;Функция расчёта;ezfc_id;element_name;Тип;Название параметра;Варианты значений
Каталог;https://insain.ru/catalog/;НЕ НАЙДЕНО;;;;;Параметры не найдены
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2595;numn;tel;Тираж;value=100
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2596;numw;tel;Ширина, мм;value=50
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2597;numh;tel;Высота, мм;value=50
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2598;dpdmaterial;select;Материал основы;Двухслойный пластик для гравирования ROWMARK LASERMAX, акрил, 2 слоя, 1220 х 600 мм x 1.6 ммслойный пластик для гравирования ZENOMARK LASER 1200 x 600 x 1.5 мм. (value=0, code=ROWMARKLASERMAX) | Акрил молочный Plexiglas XT 3мм (value=1, code=AcrylWhite3) | Акрил прозрачный Plexiglas XT 2мм (value=2, code=AcrylTrans2) | Акрил прозрачный Plexiglas XT 3мм (value=3, code=AcrylTrans3) | Акрил цветной Plexiglas XT 3мм (value=4, code=AcrylColor3) | Фанера сорт 2/2 3мм (value=5, code=Plywood3) | Фанера сорт 2/2 4мм (value=6, code=Plywood4) | Двухслойный пластик для гравирования ZENOMARK LASER 1200 x 600 x 1.5 мм. (value=7, code=ZENOMARKLASER)
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2599;dpddifficulty;select;Сложность форма бейджа;простая (value=0, code=1) | сложная (value=1, code=1.3)
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2600;chkpocket;checkbox;chkpocket;Окошко для имени (value=0, code=Pocket)
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2603;chkgrave;checkbox;chkgrave;Гравировка (value=0, code=isGrave)
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2604;numgravew;tel;Ширина, мм;value=50
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2605;numgraveh;tel;Высота, мм;value=50
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2607;chkuvprint;checkbox;chkuvprint;УФ-печать (value=0, code=isUVPrint)
Бейджи с лазерной гравировкой;https://insain.ru/catalog/bejdzhi-s-lazernoj-gravirovkoj/;calcBadge;2608;dpdcolor;select;Цветность;полноцвет (value=0, code=4+0) | полноцвет + белый (value=1, code=4+1) | белый (value=2, code=1+0)
